dateid01	infl
1960-01-01	0.57888980919167463
1960-04-01	2.1127906264864113
1960-07-01	-0.25280710157705853
1960-10-01	2.9074377314647475
1961-01-01	0.55698909752744263
1961-04-01	-0.400138430419369
1961-07-01	2.3284679037895684
1961-10-01	0.14696231408123141
1962-01-01	1.8581821811995888
1962-04-01	1.064067575827423
1962-07-01	2.2481837081365703
1962-10-01	0.15315829496194163
1963-01-01	1.7450308548853209
1963-04-01	1.1042583275230734
1963-07-01	0.96361802001638175
1963-10-01	2.7549288694600556
1964-01-01	0.36189875660330481
1964-04-01	1.0396561675266327
1964-07-01	1.0794597281804752
1964-10-01	1.4173842889564297
1965-01-01	1.6145268318879516
1965-04-01	3.4500968869178313
1965-07-01	-0.045473927330982875
1965-10-01	2.6624571796856303
1966-01-01	3.9925988893132756
1966-04-01	3.3173419838826013
1966-07-01	3.7584082895199244
1966-10-01	2.6180661542469625
1967-01-01	1.289744923872678
1967-04-01	3.2567113336540319
1967-07-01	3.7255245655307913
1967-10-01	3.7835599467349869
1968-01-01	4.6275443172606269
1968-04-01	4.25777477427011
1968-07-01	4.9030714776217213
1968-10-01	4.67725320987579
1969-01-01	6.5777517655857038
1969-04-01	5.10712943149334
1969-07-01	5.8601249922263875
1969-10-01	6.5537021727285238
1970-01-01	5.056992221720515
1970-04-01	5.8368801178067088
1970-07-01	4.5843262669080288
1970-10-01	6.2650270113285075
1971-01-01	1.6916665807448025
1971-04-01	5.6414661897022375
1971-07-01	2.3188217641426734
1971-10-01	3.2308788746676463
1972-01-01	2.596101938452355
1972-04-01	2.6291242597673778
1972-07-01	3.9406110210429606
1972-10-01	4.2419432231986638
1973-01-01	7.2125421893242088
1973-04-01	7.9777727935465438
1973-07-01	8.7712919951869938
1973-10-01	9.52155203322105
1974-01-01	13.36274627157352
1974-04-01	9.549968585659855
1974-07-01	12.546606813764059
1974-10-01	11.224539433651538
1975-01-01	5.8292113777184513
1975-04-01	6.0948803969861413
1975-07-01	7.2045102471322675
1975-10-01	7.9112036307255913
1976-01-01	2.4751036980680047
1976-04-01	5.2829692703380619
1976-07-01	5.7102211584860013
1976-10-01	5.8400081285041988
1977-01-01	8.150768384278695
1977-04-01	6.5192999883004688
1977-07-01	5.0766227919892219
1977-10-01	6.5051114172948613
1978-01-01	7.2294641192307663
1978-04-01	9.619327573408805
1978-07-01	8.5065741288338113
1978-10-01	9.3872868691294325
1979-01-01	10.959491675547789
1979-04-01	12.451286532346042
1979-07-01	13.058832295506705
1979-10-01	13.447038686859591
1980-01-01	16.250165799264044
1980-04-01	11.112855405460128
1980-07-01	6.42395164993334
1980-10-01	13.28390043183177
1981-01-01	9.2747103934472575
1981-04-01	7.6637531353203838
1981-07-01	11.141425146811917
1981-10-01	5.9385745753812088
1982-01-01	1.6675535210482325
1982-04-01	8.781185516273275
1982-07-01	3.0760210321183113
1982-10-01	1.3597481158018513
1983-01-01	1.0561639836652219
1983-04-01	4.8213201744298606
1983-07-01	3.9589368600921881
1983-10-01	4.9474256419848075
1984-01-01	5.0346780761274044
1984-04-01	2.7073489055644978
1984-07-01	4.0347728245568044
1984-10-01	3.7092149044192619
1985-01-01	3.9414159588163
1985-04-01	3.1675364304917106
1985-07-01	1.659490989711175
1985-10-01	6.1608097283786613
1986-01-01	-2.2803066571241609
1986-04-01	1.5463090854902838
1986-07-01	1.6441718889520925
1986-10-01	3.4517133410424713
1987-01-01	5.1569917176081413
1987-04-01	4.1233522988808
1987-07-01	4.452715678225265
1987-10-01	3.6063498054364319
1988-01-01	3.095660394117845
1988-04-01	4.3919071487293431
1988-07-01	5.4343645393145763
1988-10-01	4.3141812329388031
1989-01-01	5.1642019699778981
1989-04-01	5.2923652168446663
1989-07-01	2.3696697023985434
1989-10-01	5.3026853207704788
1990-01-01	7.2774093354885275
1990-04-01	3.3573552364450731
1990-07-01	8.1595191354956175
1990-10-01	4.8461013884454356
1991-01-01	2.5948161731019516
1991-04-01	2.8185774636808163
1991-07-01	3.2008936311983256
1991-10-01	3.4564839217968369
1992-01-01	2.9090457771157394
1992-04-01	2.6217779693429463
1992-07-01	2.8928302084544131
1992-10-01	3.061228022286825
1993-01-01	3.4370492668790169
1993-04-01	2.4288136054710244
1993-07-01	1.7353255740094519
1993-10-01	3.3330435362256525
1994-01-01	2.2891846434283969
1994-04-01	2.4629407068145422
1994-07-01	3.6585656975084313
1994-10-01	2.1922668142351469
1995-01-01	2.8878216446088888
1995-04-01	3.2288465820292725
1995-07-01	1.7426945116791906
1995-10-01	2.1778392567685581
1996-01-01	4.0892365210029356
1996-04-01	2.8215638060623125
1996-07-01	2.6972422558750872
1996-10-01	3.5288099971848394
1997-01-01	1.8821118356416928
1997-04-01	0.92974745199487388
1997-07-01	2.1111661528615931
1997-10-01	1.9320884469373978
1998-01-01	0.548688798181602
1998-04-01	1.9808282699778438
1998-07-01	1.3381073039373819
1998-10-01	2.7475827748973359
1999-01-01	0.80165726019945975
1999-04-01	2.7247267611134003
1999-07-01	4.0028626731490206
1999-10-01	3.3817862721329181
2000-01-01	4.5596796776839688
2000-04-01	2.5855261901170859
2000-07-01	2.9097735608924531
2000-10-01	3.6902491867214113
2001-01-01	2.1657740197238903
2001-04-01	3.8525893232076463
2001-07-01	0.735239859156288
2001-10-01	-0.29320980803302262
2002-01-01	1.4541736817461981
2002-04-01	2.1849658400826662
2002-07-01	2.6430328043610731
2002-10-01	3.3612558165024675
2003-01-01	3.746356445663585
2003-04-01	-1.70741147252574
2003-07-01	3.8439029206026419
2003-10-01	1.7537305242533791
